                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0162,                 3.0972,                 1.2498,                 0.7267,                0.68455,                0.73755,                0.48395,                 1.2115,                 3.7824,                 1.3964,             0.00046676,             0.00046676,             0.00046676
                      2,                0.96654,                 1.1946,                 1.1921,                0.36492,                0.45682,                0.40237,                0.22311,                 1.8267,                 2.9069,                  1.912,             0.00093451,             0.00093451,             0.00093451
                      3,                 1.0218,                 1.0378,                 1.2326,                0.25039,                0.07955,                0.08978,                0.03487,                 2.9139,                 5.6179,                 3.5558,              0.0013863,              0.0013863,              0.0013863
                      4,                0.98918,                0.96985,                 1.1981,                0.61252,                0.39595,                 0.4519,                0.25434,                 1.4757,                 2.9048,                 1.7997,              0.0015845,              0.0015845,              0.0015845
                      5,                0.96293,                0.85142,                 1.1744,                0.66981,                0.44091,                0.50989,                0.34604,                 1.2783,                 1.6653,                 1.4734,               0.001557,               0.001557,               0.001557
                      6,                0.87993,                0.75199,                  1.115,                0.82168,                0.90293,                0.90814,                0.69565,                0.89492,                0.86881,                 1.1715,              0.0015295,              0.0015295,              0.0015295
                      7,                0.88945,                0.73384,                 1.1326,                0.65638,                0.82091,                0.80788,                0.61154,                0.89627,                 1.4297,                 1.1635,               0.001502,               0.001502,               0.001502
                      8,                0.84604,                0.70391,                 1.1105,                0.74962,                 0.8254,                0.92628,                0.70093,                0.90741,                 1.2013,                 1.1597,              0.0014745,              0.0014745,              0.0014745
                      9,                0.86094,                0.69098,                 1.0962,                0.90848,                0.90591,                0.93481,                0.73119,                0.76769,                 0.6458,                 1.0864,               0.001447,               0.001447,               0.001447
                     10,                0.85773,                0.67313,                 1.1147,                0.98775,                0.91455,                0.93129,                0.71784,                0.84059,                0.55147,                  1.125,              0.0014195,              0.0014195,              0.0014195
                     11,                0.79479,                0.61637,                 1.0713,                0.96553,                0.93337,                 0.9693,                0.80843,                0.64955,                0.46069,                 0.9715,              0.0013919,              0.0013919,              0.0013919
                     12,                0.77044,                0.62334,                  1.079,                0.92376,                0.90591,                0.95587,                0.72034,                0.79859,                 0.7135,                 1.0356,              0.0013644,              0.0013644,              0.0013644
                     13,                0.76383,                0.60306,                 1.0579,                0.97872,                0.98829,                0.97386,                 0.7983,                0.65594,                0.51224,                0.96778,              0.0013369,              0.0013369,              0.0013369
                     14,                0.73711,                0.56069,                 1.0425,                0.96288,                0.96326,                0.98259,                0.80896,                0.67886,                0.45204,                0.95557,              0.0013094,              0.0013094,              0.0013094
                     15,                0.71975,                0.53279,                 1.0405,                0.99463,                0.97727,                0.97784,                0.81118,                0.68558,                0.46146,                 0.9964,              0.0012819,              0.0012819,              0.0012819
                     16,                0.71761,                0.54452,                 1.0344,                0.92996,                0.89608,                0.94283,                 0.7818,                0.67002,                0.48038,                0.97477,              0.0012544,              0.0012544,              0.0012544
                     17,                0.70618,                0.53908,                 1.0379,                0.96468,                0.97727,                0.98264,                 0.8298,                0.61207,                0.46207,                0.95439,              0.0012269,              0.0012269,              0.0012269
                     18,                0.66294,                0.50136,                 1.0142,                0.96179,                0.92889,                0.96096,                0.80001,                0.55981,                0.44429,                0.91162,              0.0011994,              0.0011994,              0.0011994
                     19,                0.70253,                 0.5274,                 1.0369,                0.98386,                0.94796,                 0.9708,                0.84006,                0.56691,                0.44989,                0.90592,              0.0011719,              0.0011719,              0.0011719
                     20,                0.64552,                0.46894,                0.99429,                0.94635,                0.95727,                0.96547,                0.82641,                0.60262,                0.38746,                0.91133,              0.0011444,              0.0011444,              0.0011444
                     21,                0.66688,                 0.4753,                 1.0124,                0.99229,                0.97542,                0.98584,                0.84298,                 0.5979,                0.35323,                0.94874,              0.0011169,              0.0011169,              0.0011169
                     22,                0.65562,                0.48658,                 1.0134,                0.96835,                0.95443,                  0.958,                0.83533,                0.58962,                0.36733,                0.94651,              0.0010894,              0.0010894,              0.0010894
                     23,                0.65405,                0.46496,                 1.0108,                0.96071,                0.97832,                0.98581,                0.85455,                0.54593,                0.32469,                0.91864,              0.0010619,              0.0010619,              0.0010619
                     24,                0.64268,                0.45595,                 1.0038,                0.97379,                0.97458,                0.97958,                 0.8546,                0.59374,                0.31753,                0.94241,              0.0010344,              0.0010344,              0.0010344
                     25,                0.60693,                 0.4534,                0.99368,                0.97733,                0.96591,                0.98408,                0.84692,                0.59163,                0.35401,                0.93547,              0.0010069,              0.0010069,              0.0010069
                     26,                0.63645,                0.46405,                  1.011,                 0.9962,                0.96591,                0.98352,                0.85642,                0.52455,                0.33513,                0.88998,             0.00097936,             0.00097936,             0.00097936
                     27,                0.63618,                 0.4614,                 1.0109,                0.99802,                0.95455,                0.98492,                0.87168,                0.52519,                 0.3523,                0.90448,             0.00095186,             0.00095186,             0.00095186
                     28,                0.61069,                0.42379,                0.99082,                0.98863,                0.97353,                0.98856,                0.89573,                0.47706,                0.29887,                0.87217,             0.00092435,             0.00092435,             0.00092435
                     29,                0.58253,                0.41512,                0.98044,                0.99465,                0.96591,                 0.9786,                0.89062,                0.47115,                0.29424,                0.88612,             0.00089685,             0.00089685,             0.00089685
                     30,                0.59201,                   0.42,                0.98687,                0.99718,                0.97727,                 0.9877,                0.87207,                0.48541,                0.29676,                0.87903,             0.00086934,             0.00086934,             0.00086934
                     31,                 0.5748,                0.40901,                0.97618,                0.99488,                0.97727,                0.98943,                0.88849,                0.48678,                0.29782,                 0.8785,             0.00084184,             0.00084184,             0.00084184
                     32,                0.58403,                0.41765,                0.98199,                 0.9977,                0.97727,                0.98658,                0.86817,                0.52741,                0.29681,                0.91936,             0.00081433,             0.00081433,             0.00081433
                     33,                 0.5655,                0.39822,                0.96569,                0.99021,                0.97597,                0.98668,                0.87913,                0.47399,                0.29434,                0.88209,             0.00078682,             0.00078682,             0.00078682
                     34,                0.56511,                 0.3962,                0.96727,                0.99559,                0.97727,                  0.987,                 0.8657,                0.48269,                0.31299,                0.88282,             0.00075932,             0.00075932,             0.00075932
                     35,                0.57811,                0.39073,                0.98179,                0.99587,                0.97727,                0.98718,                0.86593,                0.49646,                0.28624,                0.87394,             0.00073181,             0.00073181,             0.00073181
                     36,                0.54561,                0.38141,                0.97121,                0.99806,                0.97727,                0.98762,                0.88779,                0.45167,                 0.3028,                0.85412,             0.00070431,             0.00070431,             0.00070431
                     37,                 0.5342,                0.38188,                0.96169,                0.99677,                0.97727,                0.98832,                0.88409,                0.48574,                0.28786,                0.88695,              0.0006768,              0.0006768,              0.0006768
                     38,                0.54384,                0.38916,                0.96297,                0.99487,                0.98648,                0.98763,                0.88556,                0.48426,                0.26857,                0.88708,              0.0006493,              0.0006493,              0.0006493
                     39,                0.55708,                0.38855,                0.97264,                0.99822,                0.97727,                0.98984,                0.91306,                0.44114,                 0.2635,                0.85559,             0.00062179,             0.00062179,             0.00062179
                     40,                0.53071,                0.35872,                0.96007,                0.97698,                0.98758,                0.98855,                0.89008,                0.46046,                0.26436,                0.86335,             0.00059429,             0.00059429,             0.00059429
                     41,                0.54216,                0.37181,                0.95613,                0.98933,                0.98864,                0.98981,                0.91738,                0.41784,                0.25242,                0.84998,             0.00056678,             0.00056678,             0.00056678
                     42,                0.50879,                0.36186,                0.95293,                 0.9979,                0.97727,                0.98943,                0.90853,                0.43417,                0.25979,                0.85683,             0.00053927,             0.00053927,             0.00053927
                     43,                0.48994,                0.34078,                0.93851,                0.99883,                0.97818,                0.99056,                0.88992,                0.45243,                0.24883,                 0.8703,             0.00051177,             0.00051177,             0.00051177
                     44,                0.49534,                0.34164,                0.94078,                 0.9959,                0.98864,                0.99079,                0.88718,                0.42975,                0.22646,                0.85899,             0.00048426,             0.00048426,             0.00048426
                     45,                0.49279,                0.33136,                0.93656,                0.99531,                0.98841,                0.99046,                0.89184,                0.43436,                0.23189,                0.85827,             0.00045676,             0.00045676,             0.00045676
                     46,                0.45576,                0.32679,                0.92407,                0.99887,                0.97808,                0.99091,                0.90457,                0.44587,                0.25032,                0.86323,             0.00042925,             0.00042925,             0.00042925
                     47,                0.46205,                 0.3151,                 0.9249,                0.99768,                0.97827,                0.99035,                    0.9,                0.44518,                0.24183,                0.86124,             0.00040175,             0.00040175,             0.00040175
                     48,                0.46048,                0.30995,                0.93551,                0.99794,                0.98864,                0.98998,                0.90797,                 0.4081,                 0.2308,                  0.839,             0.00037424,             0.00037424,             0.00037424
                     49,                0.47851,                0.32393,                0.94528,                0.97992,                0.98864,                0.98998,                0.90666,                0.43005,                0.23049,                0.84761,             0.00034674,             0.00034674,             0.00034674
                     50,                0.46154,                0.31223,                0.92464,                 0.9804,                0.97825,                0.99046,                0.89738,                0.41508,                 0.2454,                0.84511,             0.00031923,             0.00031923,             0.00031923
                     51,                 0.3503,                0.23645,                0.84714,                0.99878,                0.97835,                0.98937,                0.89373,                0.41544,                0.24847,                0.85672,             0.00029172,             0.00029172,             0.00029172
                     52,                0.35033,                0.22728,                0.84089,                0.99695,                0.97794,                0.98998,                0.91685,                0.40143,                0.23727,                0.84549,             0.00026422,             0.00026422,             0.00026422
                     53,                0.33401,                0.21974,                0.82136,                0.99871,                0.97806,                0.99007,                0.91352,                0.41247,                0.23422,                0.84664,             0.00023671,             0.00023671,             0.00023671
                     54,                0.33103,                0.21664,                0.82843,                0.99175,                0.98752,                0.98989,                0.91421,                 0.4047,                0.22247,                0.84473,             0.00020921,             0.00020921,             0.00020921
                     55,                0.32887,                0.20439,                0.82083,                0.99268,                0.98751,                0.99007,                0.91769,                0.39767,                0.21676,                0.84225,              0.0001817,              0.0001817,              0.0001817
                     56,                0.32308,                0.20494,                0.82725,                 0.9957,                0.98178,                0.99046,                 0.9115,                0.39475,                0.21443,                0.84659,              0.0001542,              0.0001542,              0.0001542
                     57,                0.32013,                 0.1998,                0.81831,                0.99887,                0.97869,                0.99068,                0.91482,                0.39208,                 0.2125,                0.83781,             0.00012669,             0.00012669,             0.00012669
                     58,                0.32092,                0.19536,                0.81016,                0.99889,                0.97833,                0.99068,                0.91317,                0.39946,                0.22194,                0.84033,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                0.30321,                0.19616,                0.81184,                 0.9989,                0.97818,                0.99068,                0.90533,                0.40196,                0.22888,                0.84821,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                0.30148,                0.18891,                0.82724,                0.99891,                0.97822,                0.99104,                0.91878,                0.39408,                0.23067,                0.84478,             4.4176e-05,             4.4176e-05,             4.4176e-05
